City,Temperature (F),Humitidy (%),Cloudiness (%),Wind Speed (mph),Lattitude,Longitude,Distance From Equator
maceio,82.4,61.0,75.0,11.41,-9.67,-35.74,9.67
nanortalik,46.49,91.0,0.0,9.06,60.14,-45.24,60.14
dikson,45.05,88.0,88.0,13.76,73.51,80.55,73.51
morehead,80.6,74.0,75.0,4.47,38.18,-83.43,38.18
port alfred,60.53,92.0,12.0,7.38,-33.59,26.89,33.59
vaini,68.99,99.0,92.0,8.61,15.34,74.49,15.34
punta arenas,33.8,100.0,75.0,4.7,-53.16,-70.91,53.16
margate,46.4,65.0,75.0,12.75,-43.03,147.26,43.03
yellowknife,60.8,93.0,90.0,5.82,62.45,-114.38,62.45
khatanga,48.38,94.0,92.0,10.18,71.98,102.47,71.98
rikitea,75.47,96.0,20.0,11.74,-23.12,-134.97,23.12
hermanus,48.56,100.0,92.0,6.15,-34.42,19.24,34.42
jamestown,43.7,97.0,88.0,12.64,-33.21,138.6,33.21
nabire,68.18,93.0,88.0,2.01,-3.36,135.5,3.36
new norfolk,46.4,65.0,75.0,12.75,-42.78,147.06,42.78
vestmannaeyjar,51.8,81.0,75.0,8.05,63.44,-20.27,63.44
darnah,81.41,95.0,0.0,10.4,32.77,22.64,32.77
ushuaia,32.99,100.0,90.0,17.22,-54.81,-68.31,54.81
kautokeino,50.27,56.0,48.0,6.38,69.01,23.04,69.01
leh,33.35,89.0,44.0,1.57,34.16,77.58,34.16
tolaga bay,50.0,85.0,92.0,6.15,-38.37,178.3,38.37
maragogi,77.54,88.0,92.0,9.73,-9.01,-35.22,9.01
ruzhyn,70.07,77.0,0.0,5.93,49.72,29.2,49.72
butaritari,83.75,100.0,92.0,0.34,3.07,172.79,3.07
kafanchan,68.18,97.0,92.0,4.59,9.58,8.3,9.58
cabo san lucas,81.59,69.0,20.0,3.36,22.89,-109.91,22.89
hvide sande,71.6,73.0,64.0,11.41,56.01,8.13,56.01
puerto ayora,77.0,65.0,75.0,21.92,-0.74,-90.35,0.74
okhotsk,56.66,100.0,92.0,16.67,59.36,143.24,59.36
eydhafushi,83.48,97.0,92.0,13.65,5.1,73.07,5.1
corinto,84.38,50.0,64.0,7.94,-18.36,-44.46,18.36
albany,86.7,55.0,20.0,4.7,42.65,-73.75,42.65
busselton,60.08,100.0,88.0,24.27,-33.64,115.35,33.64
sioux lookout,54.36,76.0,90.0,5.82,50.1,-91.92,50.1
atuona,79.43,100.0,56.0,19.01,-9.8,-139.03,9.8
mahebourg,69.8,64.0,20.0,5.82,-20.41,57.7,20.41
geraldton,51.8,93.0,90.0,9.17,49.72,-86.95,49.72
airai,61.07,87.0,0.0,1.68,-8.93,125.41,8.93
lumphat,71.6,99.0,100.0,2.24,13.5,106.97,13.5
aklavik,44.6,93.0,90.0,10.29,68.22,-135.01,68.22
severo-kurilsk,48.38,100.0,12.0,3.69,50.68,156.12,50.68
esperance,89.6,62.0,40.0,18.34,10.24,-61.45,10.24
abalak,84.11,58.0,48.0,4.03,15.46,6.28,15.46
ribeira grande,77.0,61.0,40.0,6.93,38.52,-28.7,38.52
kapaa,75.88,78.0,90.0,14.99,22.08,-159.32,22.08
samarai,76.55,100.0,76.0,9.73,-10.62,150.67,10.62
faya,70.68,83.0,40.0,8.05,18.39,42.45,18.39
belaya gora,42.62,86.0,0.0,10.18,68.54,146.19,68.54
bluff,65.57,36.0,92.0,9.28,-23.58,149.07,23.58
mar del plata,52.07,61.0,44.0,3.58,-46.43,-67.52,46.43
carnarvon,41.0,46.0,0.0,11.74,-30.97,22.13,30.97
deputatskiy,31.73,87.0,0.0,2.68,69.3,139.9,69.3
mataura,20.93,71.0,0.0,2.91,-46.19,168.86,46.19
tasiilaq,42.8,100.0,44.0,12.97,65.61,-37.64,65.61
handan,78.44,94.0,24.0,3.02,36.58,114.48,36.58
bereda,71.6,73.0,40.0,5.82,43.27,-7.54,43.27
poum,80.6,39.0,40.0,2.24,41.28,20.71,41.28
east london,59.0,62.0,0.0,5.82,-33.02,27.91,33.02
port lincoln,53.33,98.0,80.0,19.01,-34.72,135.86,34.72
torbay,66.29,68.0,75.0,14.99,47.66,-52.73,47.66
cherskiy,38.57,86.0,12.0,4.59,68.75,161.3,68.75
mesetas,72.32,93.0,88.0,2.13,3.38,-74.04,3.38
flinders,51.8,50.0,0.0,17.22,-34.58,150.85,34.58
mgandu,66.92,49.0,0.0,9.28,-5.96,34.11,5.96
sarevere,63.41,54.0,64.0,14.32,58.79,25.43,58.79
bubaque,87.8,62.0,75.0,12.75,11.28,-15.83,11.28
carutapera,85.46,74.0,44.0,11.97,-1.2,-46.02,1.2
north bend,59.0,87.0,90.0,4.7,43.41,-124.22,43.41
bulungu,78.62,78.0,0.0,3.13,-4.54,18.6,4.54
tuktoyaktuk,41.0,86.0,90.0,8.05,69.44,-133.03,69.44
arraial do cabo,70.68,100.0,75.0,9.17,-22.97,-42.02,22.97
castro,45.5,100.0,92.0,6.38,-42.48,-73.76,42.48
lebu,52.7,99.0,92.0,3.13,8.96,38.73,8.96
hermiston,72.84,37.0,1.0,3.91,45.84,-119.29,45.84
hasaki,72.45,100.0,75.0,12.75,35.73,140.83,35.73
nemuro,57.92,100.0,12.0,10.96,43.32,145.57,43.32
san patricio,69.26,52.0,0.0,3.24,-26.98,-56.83,26.98
maumere,77.54,100.0,0.0,8.5,-8.63,122.22,8.63
college,55.98,93.0,90.0,11.41,64.86,-147.8,64.86
souillac,97.61,20.0,0.0,3.36,45.6,-0.6,45.6
hobart,46.4,65.0,75.0,12.75,-42.88,147.33,42.88
ulaanbaatar,59.0,77.0,40.0,6.71,47.92,106.92,47.92
klaksvik,51.8,100.0,92.0,14.99,62.23,-6.59,62.23
ilulissat,48.2,61.0,75.0,6.93,69.22,-51.1,69.22
sale,70.79,47.0,88.0,6.93,53.42,-2.32,53.42
saint-philippe,85.5,58.0,1.0,13.87,45.36,-73.48,45.36
salalah,78.8,88.0,75.0,4.7,17.01,54.1,17.01
peniche,77.43,60.0,20.0,13.87,39.36,-9.38,39.36
labuhan,71.87,91.0,36.0,2.35,-2.54,115.51,2.54
vila velha,86.0,58.0,20.0,19.46,-3.71,-38.6,3.71
sharqpur,82.4,83.0,75.0,10.29,31.46,74.1,31.46
nome,88.65,59.0,40.0,5.82,30.04,-94.42,30.04
saldanha,89.6,22.0,68.0,9.62,41.42,-6.55,41.42
mount gambier,47.3,80.0,92.0,8.72,-37.83,140.78,37.83
muravlenko,54.23,75.0,92.0,10.96,63.79,74.5,63.79
norman wells,59.0,93.0,75.0,10.4,65.28,-126.83,65.28
atar,103.73,24.0,0.0,4.81,20.52,-13.05,20.52
mikuni,75.2,73.0,75.0,10.29,36.22,136.15,36.22
hami,72.68,48.0,0.0,3.02,42.84,93.51,42.84
zyryanskoye,51.08,82.0,32.0,5.14,56.83,86.62,56.83
georgetown,87.8,62.0,75.0,4.7,6.8,-58.16,6.8
provideniya,46.85,100.0,92.0,10.96,64.42,-173.23,64.42
skelleftea,60.8,72.0,0.0,9.17,64.75,20.95,64.75
gazanjyk,82.85,39.0,0.0,3.36,39.24,55.52,39.24
harwich,85.33,58.0,0.0,11.41,41.69,-70.08,41.69
ozernovskiy,51.98,98.0,88.0,4.59,51.5,156.52,51.5
inhambane,75.2,78.0,75.0,11.41,-23.87,35.38,23.87
nouakchott,76.82,100.0,12.0,12.86,18.08,-15.98,18.08
tual,79.43,98.0,88.0,10.74,-5.67,132.75,5.67
sambava,74.57,100.0,0.0,14.43,-14.27,50.17,14.27
bredasdorp,53.6,87.0,92.0,17.22,-34.53,20.04,34.53
constitucion,62.6,63.0,90.0,3.36,23.99,-104.67,23.99
chuy,61.7,92.0,0.0,4.7,-33.69,-53.46,33.69
joura,78.8,94.0,75.0,2.57,26.34,77.81,26.34
hilo,60.42,78.0,90.0,3.36,19.71,-155.08,19.71
gubkin,78.89,41.0,24.0,7.94,51.28,37.53,51.28
leningradskiy,33.89,100.0,88.0,9.51,69.38,178.42,69.38
ghanzi,72.23,35.0,0.0,8.16,-21.7,21.65,21.7
bethel,53.6,100.0,90.0,11.41,60.79,-161.76,60.79
zarubino,68.81,100.0,100.0,6.38,42.65,131.06,42.65
yar-sale,55.4,80.0,92.0,13.98,66.83,70.83,66.83
codrington,48.47,58.0,0.0,4.81,-28.95,153.24,28.95
hithadhoo,81.23,100.0,92.0,9.62,-0.6,73.08,0.6
maraa,76.73,92.0,76.0,8.39,-1.83,-65.37,1.83
ventspils,69.8,64.0,40.0,12.75,57.39,21.56,57.39
semey,64.94,41.0,24.0,8.16,50.41,80.25,50.41
isla vista,65.73,78.0,1.0,8.05,34.41,-119.86,34.41
tiksi,44.51,86.0,0.0,11.52,71.64,128.87,71.64
cidreira,63.32,82.0,0.0,7.27,-30.17,-50.22,30.17
manado,80.6,61.0,40.0,9.17,1.49,124.85,1.49
farafenni,88.43,60.0,44.0,11.97,13.57,-15.6,13.57
ginda,60.35,100.0,80.0,1.34,30.69,78.49,30.69
fortuna,93.69,27.0,0.0,18.34,38.18,-1.13,38.18
barrow,68.72,47.0,8.0,10.4,-38.31,-60.23,38.31
pontianak,77.0,88.0,20.0,4.7,-0.02,109.34,0.02
las margaritas,70.7,79.0,44.0,4.81,16.32,-91.98,16.32
chokurdakh,33.89,92.0,64.0,9.17,70.62,147.9,70.62
cape town,53.6,81.0,90.0,8.05,-33.93,18.42,33.93
pacific grove,57.74,87.0,1.0,4.7,36.62,-121.92,36.62
qaanaaq,41.27,80.0,0.0,20.24,77.48,-69.36,77.48
svetlaya,63.95,92.0,56.0,9.17,46.54,138.33,46.54
faanui,80.6,98.0,8.0,11.63,-16.48,-151.75,16.48
coahuayana,78.08,71.0,24.0,3.02,18.62,-100.35,18.62
chulman,46.13,79.0,92.0,2.35,56.84,124.9,56.84
kavieng,77.18,100.0,76.0,2.8,-2.57,150.8,2.57
omboue,73.49,100.0,32.0,10.63,-1.57,9.26,1.57
kavaratti,82.76,96.0,44.0,19.57,10.57,72.64,10.57
ocean city,90.05,49.0,20.0,6.93,30.44,-86.61,30.44
mendoza,62.6,42.0,0.0,3.36,-32.89,-68.84,32.89
itacare,82.4,69.0,40.0,5.82,-14.28,-39.0,14.28
coolum beach,61.52,100.0,68.0,5.37,-26.53,153.09,26.53
kruisfontein,52.88,92.0,0.0,3.36,-34.0,24.73,34.0
burriana,89.6,52.0,20.0,11.41,39.89,-0.08,39.89
scarborough,73.4,60.0,75.0,11.41,54.28,-0.41,54.28
novyy urengoy,52.25,74.0,68.0,12.19,66.08,76.63,66.08
cockburn town,83.3,97.0,8.0,16.67,21.46,-71.14,21.46
isangel,71.33,100.0,0.0,13.31,-19.55,169.27,19.55
bilibino,45.05,69.0,8.0,2.68,68.06,166.44,68.06
mutata,70.88,88.0,92.0,2.35,7.24,-76.44,7.24
todos santos,81.82,69.0,20.0,3.36,23.45,-110.23,23.45
ewa beach,74.77,83.0,1.0,3.36,21.32,-158.01,21.32
berekum,82.22,68.0,64.0,5.7,7.45,-2.58,7.45
pudozh,58.37,85.0,44.0,9.28,61.81,36.54,61.81
waingapu,66.47,93.0,12.0,5.93,-9.65,120.26,9.65
vila franca do campo,75.2,60.0,75.0,12.75,37.72,-25.43,37.72
smithers,62.6,63.0,75.0,2.24,54.78,-127.17,54.78
ueckermunde,78.8,39.0,0.0,3.36,53.74,14.04,53.74
iqaluit,42.8,93.0,90.0,3.36,63.75,-68.52,63.75
la libertad,66.2,10.0,0.0,6.93,-16.38,-71.56,16.38
constantine,73.4,83.0,75.0,5.82,36.36,6.61,36.36
abu samrah,82.67,40.0,0.0,11.63,35.3,37.18,35.3
hovd,62.6,55.0,20.0,6.93,63.83,10.7,63.83
meybod,98.6,7.0,40.0,11.41,32.25,54.02,32.25
bambous virieux,69.8,64.0,20.0,5.82,-20.34,57.76,20.34
washougal,65.61,72.0,1.0,5.82,45.58,-122.35,45.58
dicabisagan,77.09,100.0,56.0,3.8,17.08,122.42,17.08
gat,95.0,50.0,75.0,4.7,14.69,-16.54,14.69
pevek,35.6,100.0,36.0,6.38,69.7,170.27,69.7
itaituba,91.4,55.0,40.0,2.91,-4.26,-55.99,4.26
juegang,81.32,100.0,0.0,9.17,32.31,121.18,32.31
arman,57.2,93.0,90.0,2.24,59.7,150.17,59.7
sinnamary,83.39,91.0,20.0,8.95,5.38,-52.96,5.38
nouadhibou,73.4,78.0,8.0,18.34,20.93,-17.03,20.93
changuinola,80.24,92.0,44.0,3.13,9.44,-82.52,9.44
thap than,73.85,91.0,44.0,5.7,15.46,99.89,15.46
sawakin,96.8,39.0,0.0,8.05,19.1,37.33,19.1
nara,82.4,74.0,90.0,17.22,34.68,135.8,34.68
vanimo,82.31,100.0,32.0,13.42,-2.67,141.3,2.67
saint anthony,65.57,42.0,1.0,9.17,43.97,-111.68,43.97
port elizabeth,88.11,62.0,1.0,4.7,39.31,-74.98,39.31
aden,85.73,82.0,0.0,16.22,12.79,45.03,12.79
praia da vitoria,73.4,73.0,75.0,8.84,38.73,-27.07,38.73
wadern,90.36,27.0,0.0,9.17,49.54,6.89,49.54
trapani,82.42,74.0,40.0,6.93,38.02,12.54,38.02
nexo,69.8,73.0,24.0,11.41,55.06,15.13,55.06
tabou,77.45,100.0,12.0,8.61,4.42,-7.36,4.42
kodiak,84.2,62.0,1.0,3.36,39.95,-94.76,39.95
marrakesh,109.4,12.0,20.0,10.29,31.63,-7.99,31.63
clarence town,53.6,54.0,0.0,19.46,-32.59,151.78,32.59
srednekolymsk,41.18,91.0,0.0,3.91,67.46,153.71,67.46
el sauzal,69.8,43.0,0.0,4.7,-24.3,-64.96,24.3
ust-nera,44.15,97.0,92.0,2.13,64.57,143.24,64.57
thompson,66.2,59.0,90.0,10.29,55.74,-97.86,55.74
bathsheba,87.8,62.0,40.0,25.28,13.22,-59.52,13.22
vao,63.32,62.0,44.0,13.42,59.1,26.19,59.1
coruripe,78.62,90.0,48.0,11.18,-10.12,-36.18,10.12
bandarbeyla,79.07,91.0,0.0,31.32,9.49,50.81,9.49
puerto quijarro,65.28,88.0,75.0,3.36,-19.0,-57.72,19.0
lillooet,71.6,46.0,1.0,4.7,50.69,-121.94,50.69
luwuk,77.18,87.0,20.0,6.49,-0.95,122.79,0.95
evans,67.75,68.0,90.0,6.15,40.38,-104.69,40.38
ponta do sol,76.1,73.0,32.0,4.59,-20.63,-46.0,20.63
lumeje,67.64,34.0,0.0,3.36,-11.56,20.78,11.56
sayat,96.8,28.0,0.0,16.11,38.78,63.88,38.78
zell am see,87.8,38.0,20.0,9.17,47.32,12.8,47.32
sechelt,71.58,56.0,40.0,2.24,49.47,-123.76,49.47
pochutla,84.42,74.0,75.0,5.59,15.74,-96.47,15.74
zhigansk,53.33,79.0,0.0,4.36,66.77,123.37,66.77
teyateyaneng,59.0,13.0,0.0,11.41,-29.15,27.74,29.15
havre-saint-pierre,69.8,88.0,90.0,10.29,50.23,-63.6,50.23
platanos,84.2,54.0,20.0,10.29,35.47,23.6,35.47
nashville,89.08,52.0,20.0,9.17,36.16,-86.77,36.16
lorengau,79.79,100.0,56.0,5.37,-2.02,147.27,2.02
biak,77.18,87.0,20.0,6.49,-0.91,122.88,0.91
bouna,82.58,66.0,80.0,7.16,9.27,-3.0,9.27
avarua,73.4,78.0,75.0,9.17,-21.21,-159.78,21.21
alekseyevka,80.6,51.0,20.0,2.24,53.25,50.49,53.25
turayf,93.2,17.0,0.0,18.34,31.68,38.65,31.68
millau,91.4,29.0,0.0,9.17,44.1,3.08,44.1
taga,84.2,74.0,75.0,6.93,35.21,136.34,35.21
nikolskoye,69.8,49.0,0.0,17.9,59.7,30.79,59.7
petropavlovsk-kamchatskiy,48.2,100.0,76.0,2.24,53.05,158.65,53.05
bud,61.38,63.0,0.0,5.82,62.91,6.91,62.91
mindelo,70.86,73.0,75.0,6.93,41.31,-8.72,41.31
daru,76.28,87.0,92.0,6.38,7.99,-10.85,7.99
melfi,87.78,43.0,40.0,8.05,41.0,15.66,41.0
mae sot,72.95,97.0,76.0,3.13,16.71,98.57,16.71
saint george,86.0,35.0,20.0,8.05,39.45,22.34,39.45
ambilobe,71.15,68.0,0.0,6.71,-13.19,49.05,13.19
sitka,93.2,42.0,12.0,16.89,37.17,-99.65,37.17
lavrentiya,44.15,99.0,76.0,1.57,65.58,-170.99,65.58
thinadhoo,82.67,100.0,80.0,9.17,0.53,72.93,0.53
san carlos,89.96,58.0,80.0,10.07,9.66,-68.59,9.66
kaeo,39.65,78.0,8.0,4.14,-35.1,173.78,35.1
luderitz,55.22,86.0,0.0,9.4,-26.65,15.16,26.65
najran,96.8,13.0,40.0,6.93,17.54,44.22,17.54
monte aprazivel,64.4,82.0,90.0,9.17,-20.77,-49.71,20.77
karakol,59.9,55.0,36.0,1.23,42.49,78.39,42.49
greytown,57.2,24.0,0.0,4.81,-29.06,30.59,29.06
rafaela,72.41,50.0,0.0,13.09,-31.25,-61.49,31.25
victoria,74.17,94.0,75.0,1.12,5.28,115.24,5.28
beregovoy,79.25,79.0,0.0,9.51,46.66,38.11,46.66
portland,64.83,72.0,75.0,5.82,45.52,-122.67,45.52
dukat,68.09,66.0,8.0,1.9,42.44,22.31,42.44
kouango,78.08,76.0,0.0,2.91,4.99,19.98,4.99
huarmey,70.7,62.0,8.0,4.36,-10.07,-78.15,10.07
burgeo,60.17,95.0,92.0,11.86,47.61,-57.61,47.61
juquia,61.61,100.0,92.0,3.91,-24.32,-47.63,24.32
ternuvate,84.2,42.0,0.0,6.71,47.83,36.13,47.83
husavik,63.59,100.0,0.0,4.36,50.56,-96.99,50.56
narsaq,59.0,51.0,20.0,3.36,60.91,-46.05,60.91
pisco,62.6,77.0,90.0,5.82,-13.71,-76.2,13.71
belmonte,94.28,19.0,44.0,8.61,40.36,-7.35,40.36
tete,70.61,54.0,0.0,3.69,-16.16,33.59,16.16
qaqortoq,59.0,51.0,20.0,3.36,60.72,-46.03,60.72
ryotsu,75.65,100.0,76.0,8.61,38.08,138.43,38.08
bushehr,99.14,53.0,0.0,6.93,28.97,50.84,28.97
palmerston,86.0,55.0,1.0,16.11,43.83,-80.85,43.83
vostok,54.23,90.0,0.0,1.9,46.45,135.83,46.45
longyearbyen,50.0,71.0,75.0,14.99,78.22,15.63,78.22
padang,77.72,100.0,56.0,3.13,-0.92,100.36,0.92
roald,62.08,72.0,0.0,12.75,62.58,6.12,62.58
kaitangata,27.68,57.0,0.0,4.25,-46.28,169.85,46.28
rio gallegos,33.8,74.0,40.0,5.14,-51.62,-69.22,51.62
ampanihy,67.28,34.0,0.0,9.06,-24.69,44.75,24.69
wewak,73.4,100.0,92.0,2.57,-3.55,143.63,3.55
